iter	Accuracy	Logloss
0	0.8370607029	0.5110582892
1	0.83514377	0.373726483
2	0.9137380192	0.3377169311
3	0.9610223642	0.3071336007
4	0.9688498403	0.2818065291
5	0.9841853035	0.258099563
6	0.9876996805	0.2387358789
7	0.9912140575	0.2223615403
8	0.9912140575	0.1990628851
9	0.9947284345	0.1877835376
10	0.995686901	0.176932543
11	0.9971246006	0.1672707158
12	0.9990415335	0.1584845586
13	1	0.1476295743
14	1	0.1400991397
15	1	0.132310639
16	1	0.1249981135
17	1	0.1186758379
18	1	0.1099060896
19	1	0.1046366238
20	1	0.09956835464
21	1	0.09602819224
22	1	0.09195676005
23	1	0.08775365452
24	1	0.08387820541
25	1	0.0813643736
26	1	0.07804660536
27	1	0.07538902907
28	1	0.07225189107
29	1	0.07212470943
30	1	0.06988764875
31	1	0.06979661446
32	1	0.06728124195
33	1	0.06402935514
34	1	0.06157655626
35	1	0.05887727104
36	1	0.05723523232
37	1	0.05530468406
38	1	0.05373678345
39	1	0.05188198469
40	1	0.05051741021
41	1	0.04900690992
42	1	0.04746144094
43	1	0.04602778031
44	1	0.04454527397
45	1	0.04347610412
46	1	0.04214303095
47	1	0.04208377036
48	1	0.04112276738
49	1	0.04020213445
50	1	0.03931806226
51	1	0.03837205244
52	1	0.03754570267
53	1	0.03664629868
54	1	0.03581714146
55	1	0.03494853521
56	1	0.03416646225
57	1	0.03331437719
58	1	0.03265038287
59	1	0.03181139444
60	1	0.03111453716
61	1	0.03050253545
62	1	0.03005395079
63	1	0.02945973681
64	1	0.02897830872
65	1	0.02839017927
66	1	0.02795555995
67	1	0.02755329734
68	1	0.027130034
69	1	0.0266708976
70	1	0.02615476158
71	1	0.02574467275
72	1	0.02532672236
73	1	0.02500804029
74	1	0.02464405246
75	1	0.02426111316
76	1	0.02391318692
77	1	0.02362630478
78	1	0.02326125972
79	1	0.02294049274
80	1	0.02258838392
81	1	0.02228798334
82	1	0.02201709413
83	1	0.02166760677
84	1	0.02139568496
85	1	0.02109402132
86	1	0.02082501775
87	1	0.02050729427
88	1	0.02021187889
89	1	0.0199475263
90	1	0.01972915807
91	1	0.01950057462
92	1	0.01924897331
93	1	0.01902813666
94	1	0.0187674169
95	1	0.01854068599
96	1	0.01830373936
97	1	0.01813916701
98	1	0.01795884804
99	1	0.01772267156
100	1	0.01755390899
101	1	0.01729498327
102	1	0.01704467799
103	1	0.01678351267
104	1	0.01655265108
105	1	0.01630934181
106	1	0.01611443577
107	1	0.01591835982
108	1	0.01572259102
109	1	0.01556259533
110	1	0.01535702091
111	1	0.0152036334
112	1	0.01504774447
113	1	0.01488057168
114	1	0.01476419062
115	1	0.01461629636
116	1	0.01443356341
117	1	0.01429831386
118	1	0.01416207033
119	1	0.01404222469
120	1	0.01389012567
121	1	0.01376197565
122	1	0.01363671265
123	1	0.01349059251
124	1	0.0133725693
125	1	0.01326685451
126	1	0.01312866407
127	1	0.01297094726
128	1	0.01283076521
129	1	0.01267354933
130	1	0.0125790606
131	1	0.01241971514
132	1	0.01230362407
133	1	0.01218677637
134	1	0.01207245476
135	1	0.01194308545
136	1	0.01182011748
137	1	0.01174334749
138	1	0.01166663043
139	1	0.01159931711
140	1	0.01149625353
141	1	0.011399557
142	1	0.01133002131
143	1	0.01121148868
144	1	0.01111468915
145	1	0.01099514393
146	1	0.01091276969
147	1	0.01083814264
148	1	0.0107673884
149	1	0.01069734137
150	1	0.01060463452
151	1	0.01051217174
152	1	0.01042451994
153	1	0.01036697006
154	1	0.01026850395
155	1	0.0101779755
156	1	0.01007713924
157	1	0.009976173738
158	1	0.009884978776
159	1	0.009796500186
160	1	0.009705986466
161	1	0.009638705342
162	1	0.009559436252
163	1	0.009480032999
164	1	0.009409339992
165	1	0.009349086316
166	1	0.00927800467
167	1	0.009209479445
168	1	0.009142259861
169	1	0.009062487955
170	1	0.008998942301
171	1	0.008932275098
172	1	0.008857826501
173	1	0.008791373727
174	1	0.008735152188
175	1	0.008660469988
176	1	0.008606118042
177	1	0.008546452579
178	1	0.008481718078
179	1	0.008412413706
180	1	0.008348062103
181	1	0.008292152422
182	1	0.008247697479
183	1	0.008187266261
184	1	0.008126029438
185	1	0.008069056004
186	1	0.00801668155
187	1	0.00796323806
188	1	0.007914893637
189	1	0.007863951218
190	1	0.007805863621
191	1	0.007750732465
192	1	0.007696292606
193	1	0.007650089078
194	1	0.007593230612
195	1	0.007548089865
196	1	0.007496327425
197	1	0.007452523239
198	1	0.007409171735
199	1	0.007349688262
200	1	0.007311815712
201	1	0.007265418455
202	1	0.00721081302
203	1	0.007165269355
204	1	0.007122430754
205	1	0.007068565132
206	1	0.007021307391
207	1	0.006976279554
208	1	0.006937291431
209	1	0.006881456589
210	1	0.006835906925
211	1	0.006799630141
212	1	0.006760113297
213	1	0.006719636953
214	1	0.00668061659
215	1	0.006641257187
216	1	0.006601299078
217	1	0.006565150004
218	1	0.0065348219
219	1	0.006493539705
220	1	0.006455771589
221	1	0.006426982051
222	1	0.006386793817
223	1	0.006350910565
224	1	0.006318902906
225	1	0.006282544722
226	1	0.006247895228
227	1	0.006221060258
228	1	0.006181101355
229	1	0.006154104129
230	1	0.006119486588
